Station_name,Stn_id,Lat,Lon,Month,Temperature,Season
RABBIT-FLAT,15666,-20.18,130.01,January,39.66,Summer
RICHMOND-POST-OFFICE,30045,-20.73,143.14,January,40.24,Summer
RICHMOND-RAAF,67105,-33.6,150.78,January,31.22,Summer
ROBE-COMPARISON,26026,-37.16,139.76,January,23.51,Summer
ROCKHAMPTON-AERO,39083,-23.38,150.48,January,36.15,Summer
RUTHERGLEN-RESEARCH,82039,-36.1,146.51,January,33.14,Summer
SCONE-AIRPORT-AWS,61363,-32.03,150.83,January,33.03,Summer
SNOWTOWN-RAYVILLE-PARK,21133,-33.77,138.22,January,32.66,Summer
ST-GEORGE-AIRPORT,43109,-28.05,148.59,January,36.51,Summer
SYDNEY-OBSERVATORY-HILL,66062,-33.86,151.21,January,28.22,Summer
TARCOOLA-AERO,16098,-30.71,134.58,January,37.85,Summer
TENNANT-CREEK-AIRPORT,15135,-19.64,134.18,January,38.78,Summer
THARGOMINDAH-AIRPORT,45025,-27.99,143.81,January,41.83,Summer
TIBOOBURRA-POST-OFFICE,46037,-29.43,142.01,January,37.37,Summer
TOWNSVILLE-AERO,32040,-19.25,146.77,January,32.68,Summer
VICTORIA-RIVER-DOWNS,14825,-16.4,131.01,January,38.94,Summer
WAGGA-WAGGA-AMO,72150,-35.16,147.46,January,34.35,Summer
WALGETT-AIRPORT-AWS,52088,-30.04,148.12,January,36.42,Summer
WANDERING,10917,-32.67,116.67,January,33.19,Summer
WEIPA-AERO,27045,-12.68,141.92,January,33.48,Summer
WILCANNIA-REID-ST,46043,-31.56,143.37,January,38.64,Summer
WILLIAMTOWN-RAAF,61078,-32.79,151.84,January,30.24,Summer
WILSONS-PROMONTORY-LIGHTHOUSE,85096,-39.13,146.42,January,22.19,Summer
WITTENOOM,5026,-22.24,118.34,January,40.62,Summer
WOOMERA-AERODROME,16001,-31.16,136.81,January,35.45,Summer
WYALONG-POST-OFFICE,73054,-33.93,147.24,January,33.72,Summer
YAMBA-PILOT-STATION,58012,-29.43,153.36,January,29.4,Summer
ADELAIDE-KENT-TOWN,23090,-34.92,138.62,January,30.19,Summer
ALBANY-AIRPORT-COMPARISON,9741,-34.94,117.8,January,24.76,Summer
ALICE-SPRINGS-AIRPORT,15590,-23.8,133.89,January,37.69,Summer
AMBERLEY-AMO,40004,-27.63,152.71,January,32.74,Summer
BARCALDINE-POST-OFFICE,36007,-23.55,145.29,January,38.34,Summer
BATHURST-AGRICULTURAL-STATION,63005,-33.43,149.56,January,29.8,Summer
BIRDSVILLE-AIRPORT,38026,-25.9,139.35,January,41.67,Summer
BOULIA-AIRPORT,38003,-22.91,139.9,January,40.66,Summer
BOURKE-AIRPORT-AWS,48245,-30.04,145.95,January,36.89,Summer
BRIDGETOWN-COMPARISON,9510,-33.96,116.14,January,30.74,Summer
BRISBANE-AERO,40842,-27.39,153.12,January,30.7,Summer
BROOME-AIRPORT,3003,-17.95,122.23,January,34.92,Summer
BUNDABERG-AERO,39128,-24.91,152.32,January,32.18,Summer
BURKETOWN-AIRPORT,29077,-17.75,139.54,January,35.73,Summer
BUTLERS-GORGE,96003,-42.28,146.28,January,20.88,Summer
CABRAMURRA-SMHEA-AWS,72161,-35.94,148.38,January,24.04,Summer
CAIRNS-AERO,31011,-16.87,145.75,January,33.85,Summer
CAMOOWEAL-TOWNSHIP,37010,-19.92,138.12,January,38.56,Summer
CANBERRA-AIRPORT,70351,-35.31,149.2,January,31.92,Summer
CAPE-BORDA,22823,-35.75,136.6,January,24.58,Summer
CAPE-BRUNY-LIGHTHOUSE,94010,-43.49,147.15,January,20.11,Summer
CAPE-LEEUWIN,9518,-34.37,115.14,January,24.5,Summer
CAPE-MORETON-LIGHTHOUSE,40043,-27.03,153.47,January,28.77,Summer
CAPE-OTWAY-LIGHTHOUSE,90015,-38.86,143.51,January,22.15,Summer
CARNARVON-AIRPORT,6011,-24.89,113.67,January,32.53,Summer
CEDUNA-AMO,18012,-32.13,133.7,January,29.41,Summer
CHARLEVILLE-AERO,44021,-26.41,146.26,January,37.03,Summer
CHARTERS-TOWERS-AIRPORT,34084,-20.05,146.27,January,36.68,Summer
COBAR-MO,48027,-31.48,145.83,January,36.1,Summer
COFFS-HARBOUR-MO,59040,-30.31,153.12,January,29.11,Summer
CUNDERDIN-AIRFIELD,10286,-31.62,117.22,January,35.35,Summer
DALWALLINU-COMPARISON,8039,-30.28,116.66,January,37.25,Summer
DARWIN-AIRPORT,14015,-12.42,130.89,January,33.18,Summer
DENILIQUIN-AIRPORT-AWS,74258,-35.56,144.95,January,32.73,Summer
DUBBO-AIRPORT-AWS,65070,-32.22,148.58,January,34.65,Summer
EAST-SALE-AIRPORT,85072,-38.12,147.13,January,30.08,Summer
ESPERANCE,9789,-33.83,121.89,January,27.37,Summer
EUCLA,11003,-31.68,128.88,January,27.16,Summer
FORREST,11052,-30.85,128.11,January,34.86,Summer
GABO-ISLAND-LIGHTHOUSE,84016,-37.57,149.92,January,23.27,Summer
GAYNDAH-AIRPORT,39066,-25.62,151.62,January,34.35,Summer
GEORGETOWN-AIRPORT,30124,-18.3,143.53,January,37.42,Summer
GERALDTON-AIRPORT-COMPARISON,8051,-28.8,114.7,January,32.94,Summer
GILES-METEOROLOGICAL-OFFICE,13017,-25.03,128.3,January,40.79,Summer
GROVE-RESEARCH-STATION,94220,-42.99,147.07,January,23.7,Summer
GUNNEDAH-RESOURCE-CENTRE,55024,-31.03,150.27,January,33.2,Summer
HALLS-CREEK-AIRPORT,2012,-18.23,127.66,January,37.55,Summer
HOBART-ELLERSLIE-ROAD,94029,-42.89,147.33,January,23.6,Summer
HORN-ISLAND,27058,-10.58,142.29,January,32.1,Summer
INVERELL-RAGLAN-ST,56242,-29.78,151.11,January,31.55,Summer
JERVIS-BAY-POINT-PERPENDICULAR-AWS,68151,-35.09,150.8,January,24.9,Summer
KALGOORLIE-BOULDER-AIRPORT,12038,-30.78,121.45,January,34.84,Summer
KALUMBURU,1019,-14.3,126.65,January,35.13,Summer
KATANNING-COMPARISON,10579,-33.69,117.56,January,31.27,Summer
KERANG,80023,-35.72,143.92,January,32.13,Summer
KYANCUTTA,18044,-33.13,135.56,January,34.39,Summer
LARAPUNA-EDDYSTONE-POINT,92045,-40.99,148.35,January,24.0,Summer
LAUNCESTON-AIRPORT,91311,-41.55,147.21,January,25.03,Summer
LAVERTON-RAAF,87031,-37.86,144.76,January,26.31,Summer
LEARMONTH-AIRPORT,5007,-22.24,114.1,January,38.44,Summer
LONGREACH-AERO,36031,-23.44,144.28,January,40.32,Summer
LOW-HEAD,91293,-41.06,146.79,January,20.64,Summer
MACKAY-M.O,33119,-21.12,149.22,January,31.21,Summer
MARBLE-BAR,4106,-21.18,119.75,January,42.05,Summer
MARREE,17031,-29.65,138.06,January,40.8,Summer
MEEKATHARRA-AIRPORT,7045,-26.61,118.54,January,39.24,Summer
MELBOURNE-REGIONAL-OFFICE,86071,-37.81,144.97,January,28.02,Summer
MERREDIN,10092,-31.48,118.28,January,36.27,Summer
MILDURA-AIRPORT,76031,-34.24,142.09,January,35.89,Summer
MILES-CONSTANCE-STREET,42112,-26.66,150.18,January,34.67,Summer
MORAWA-AIRPORT,8296,-29.2,116.02,January,38.89,Summer
MOREE-AERO,53115,-29.49,149.85,January,35.1,Summer
MORUYA-HEADS-PILOT-STATION,69018,-35.91,150.15,January,25.06,Summer
MOUNT-GAMBIER-AERO,26021,-37.75,140.77,January,26.07,Summer
NHILL-AERODROME,78015,-36.31,141.65,January,31.1,Summer
NORMANTON-AIRPORT,29063,-17.69,141.07,January,35.35,Summer
